date,open,high,low,close,volume
2016-01-04 00:00:00,1.08696,1.08723,1.08656,1.08665,904
2016-01-04 01:00:00,1.08664,1.08665,1.08449,1.08514,3093
2016-01-04 02:00:00,1.08514,1.08575,1.08428,1.08451,3128
2016-01-04 03:00:00,1.0845,1.08614,1.0827,1.08594,5611
2016-01-04 04:00:00,1.08595,1.08755,1.0858,1.08713,5702
2016-01-04 05:00:00,1.08712,1.08725,1.08667,1.0871,3042
2016-01-04 06:00:00,1.08709,1.08833,1.0869,1.08791,3920
2016-01-04 07:00:00,1.0879,1.09046,1.08737,1.0897,5150
2016-01-04 08:00:00,1.0897,1.09021,1.08841,1.08887,4428
2016-01-04 09:00:00,1.08887,1.092,1.08814,1.09122,9731
2016-01-04 10:00:00,1.09126,1.09462,1.09103,1.09239,12015
2016-01-04 11:00:00,1.09243,1.093,1.09124,1.09288,7748
2016-01-04 12:00:00,1.09288,1.09355,1.09049,1.09055,7567
2016-01-04 13:00:00,1.09056,1.09168,1.08973,1.09167,7176
2016-01-04 14:00:00,1.09166,1.09247,1.08963,1.0906,7181
2016-01-04 15:00:00,1.09058,1.09058,1.08452,1.08543,10424
2016-01-04 16:00:00,1.08544,1.08627,1.08331,1.08346,10918
2016-01-04 17:00:00,1.08357,1.08475,1.08008,1.08012,13959
2016-01-04 18:00:00,1.08012,1.08119,1.07808,1.08031,11719
2016-01-04 19:00:00,1.08028,1.0823,1.07997,1.08177,6185
2016-01-04 20:00:00,1.08179,1.08244,1.08123,1.08217,4517
2016-01-04 21:00:00,1.0822,1.08277,1.08154,1.08272,4062
2016-01-04 22:00:00,1.08272,1.08369,1.08259,1.08286,5376
2016-01-04 23:00:00,1.08286,1.08369,1.08286,1.08319,4131
2016-01-05 00:00:00,1.08274,1.08322,1.08269,1.08283,1546
2016-01-05 01:00:00,1.08282,1.08289,1.08233,1.08236,2100
2016-01-05 02:00:00,1.08236,1.08344,1.08177,1.08313,2905
2016-01-05 03:00:00,1.08311,1.08386,1.08218,1.08242,5328
2016-01-05 04:00:00,1.08245,1.08282,1.08151,1.08166,2873
2016-01-05 05:00:00,1.08166,1.0821,1.08147,1.08191,2512
2016-01-05 06:00:00,1.08191,1.08255,1.08187,1.08223,2117
2016-01-05 07:00:00,1.08223,1.08342,1.08208,1.08309,3074
2016-01-05 08:00:00,1.08309,1.08362,1.08245,1.08274,3024
2016-01-05 09:00:00,1.08275,1.08285,1.08039,1.08083,6991
2016-01-05 10:00:00,1.08082,1.08181,1.0785,1.07894,9392
2016-01-05 11:00:00,1.07893,1.07983,1.07725,1.07735,9481
2016-01-05 12:00:00,1.07734,1.07847,1.07645,1.07677,8939
2016-01-05 13:00:00,1.07677,1.07684,1.07518,1.07556,7173
2016-01-05 14:00:00,1.07556,1.07645,1.07498,1.07512,7275
