date,open,high,low,close,volume
2016-01-04 01:00:00,13.854,13.891,13.844,13.89,468
2016-01-04 02:00:00,13.89,13.947,13.87,13.902,730
2016-01-04 03:00:00,13.906,13.911,13.835,13.862,1405
2016-01-04 04:00:00,13.861,13.88,13.852,13.865,844
2016-01-04 05:00:00,13.868,13.878,13.849,13.849,447
2016-01-04 06:00:00,13.85,13.89,13.83,13.889,844
2016-01-04 07:00:00,13.89,13.941,13.874,13.931,1243
2016-01-04 08:00:00,13.933,14.015,13.909,13.982,1210
2016-01-04 09:00:00,13.984,13.984,13.876,13.932,1310
2016-01-04 10:00:00,13.932,13.978,13.891,13.93,1958
2016-01-04 11:00:00,13.93,13.97,13.918,13.97,946
2016-01-04 12:00:00,13.967,13.982,13.953,13.977,1066
2016-01-04 13:00:00,13.978,14.009,13.93,13.949,1799
2016-01-04 14:00:00,13.948,13.984,13.92,13.956,1854
2016-01-04 15:00:00,13.953,14.176,13.928,14.157,2945
2016-01-04 16:00:00,14.157,14.176,14.094,14.148,1652
2016-01-04 17:00:00,14.15,14.174,13.893,13.911,2489
2016-01-04 18:00:00,13.91,13.921,13.849,13.883,1522
2016-01-04 19:00:00,13.882,13.897,13.841,13.871,695
2016-01-04 20:00:00,13.871,13.877,13.841,13.868,626
2016-01-04 21:00:00,13.867,13.872,13.857,13.862,222
2016-01-04 22:00:00,13.864,13.872,13.831,13.844,390
2016-01-04 23:00:00,13.844,13.866,13.83,13.858,409
2016-01-05 01:00:00,13.856,13.877,13.852,13.865,305
2016-01-05 02:00:00,13.865,13.91,13.86,13.895,736
2016-01-05 03:00:00,13.894,13.945,13.889,13.933,1043
2016-01-05 04:00:00,13.933,13.939,13.917,13.931,541
2016-01-05 05:00:00,13.932,13.971,13.927,13.936,576
2016-01-05 06:00:00,13.938,13.955,13.928,13.95,319
2016-01-05 07:00:00,13.95,13.968,13.941,13.967,611
2016-01-05 08:00:00,13.967,13.979,13.849,13.969,791
2016-01-05 09:00:00,13.969,13.99,13.95,13.957,935
2016-01-05 10:00:00,13.957,13.983,13.926,13.938,1048
2016-01-05 11:00:00,13.938,14.006,13.93,13.973,1715
2016-01-05 12:00:00,13.976,14.026,13.952,13.954,988
2016-01-05 13:00:00,13.953,14.01,13.94,13.98,844
2016-01-05 14:00:00,13.983,14.049,13.983,14.008,1509
2016-01-05 15:00:00,14.008,14.064,13.934,13.934,2377
2016-01-05 16:00:00,13.932,13.96,13.889,13.922,1838
2016-01-05 17:00:00,13.922,13.988,13.914,13.962,1664
2016-01-05 18:00:00,13.967,14.016,13.951,14.003,927
2016-01-05 19:00:00,14.004,14.01,13.972,13.98,773
2016-01-05 20:00:00,13.979,14.001,13.953,13.995,949
2016-01-05 21:00:00,13.994,13.995,13.979,13.989,208
2016-01-05 22:00:00,13.989,13.989,13.964,13.968,270
2016-01-05 23:00:00,13.969,13.976,13.964,13.964,138
2016-01-06 01:00:00,13.963,13.976,13.96,13.965,227
2016-01-06 02:00:00,13.965,14.001,13.958,13.974,879
2016-01-06 03:00:00,13.974,13.975,13.918,13.938,891
2016-01-06 04:00:00,13.938,13.939,13.913,13.921,951
2016-01-06 05:00:00,13.922,13.95,13.918,13.938,667
2016-01-06 06:00:00,13.938,13.949,13.933,13.94,392
2016-01-06 07:00:00,13.94,13.953,13.932,13.951,844
2016-01-06 08:00:00,13.95,13.963,13.938,13.946,1342
2016-01-06 09:00:00,13.947,13.992,13.929,13.98,1140
2016-01-06 10:00:00,13.98,14.015,13.938,13.981,1421
2016-01-06 11:00:00,13.981,13.993,13.963,13.984,1425
2016-01-06 12:00:00,13.984,14.009,13.958,14.0,1840
2016-01-06 13:00:00,14.0,14.046,13.986,13.996,1543
2016-01-06 14:00:00,13.997,14.044,13.985,14.02,2102
2016-01-06 15:00:00,14.021,14.024,13.869,13.906,4294
2016-01-06 16:00:00,13.905,14.133,13.899,14.05,3189
2016-01-06 17:00:00,14.051,14.068,13.907,13.939,2219
2016-01-06 18:00:00,13.937,13.977,13.93,13.963,1524
2016-01-06 19:00:00,13.962,13.974,13.944,13.951,476
2016-01-06 20:00:00,13.951,14.024,13.951,14.01,1092
2016-01-06 21:00:00,14.008,14.035,13.987,13.989,1003
2016-01-06 22:00:00,13.988,14.009,13.985,14.004,344
2016-01-06 23:00:00,14.004,14.004,13.989,13.994,108
2016-01-07 01:00:00,13.998,14.018,13.995,13.995,313
2016-01-07 02:00:00,13.995,14.008,13.967,13.996,697
2016-01-07 03:00:00,13.994,14.045,13.976,14.045,1560
2016-01-07 04:00:00,14.044,14.142,14.035,14.07,1795
2016-01-07 05:00:00,14.069,14.117,14.066,14.069,1192
2016-01-07 06:00:00,14.072,14.079,14.057,14.073,648
2016-01-07 07:00:00,14.073,14.088,14.054,14.057,1066
2016-01-07 08:00:00,14.057,14.073,14.033,14.043,1901
2016-01-07 09:00:00,14.043,14.058,14.002,14.034,1545
2016-01-07 10:00:00,14.034,14.047,13.918,13.967,2173
2016-01-07 11:00:00,13.968,14.001,13.953,13.979,2217
2016-01-07 12:00:00,13.978,13.987,13.965,13.971,1632
2016-01-07 13:00:00,13.971,14.041,13.971,14.005,1518
2016-01-07 14:00:00,14.006,14.089,13.999,14.052,2234
2016-01-07 15:00:00,14.057,14.1,13.976,14.013,4625
2016-01-07 16:00:00,14.012,14.127,13.983,14.1,3574
2016-01-07 17:00:00,14.1,14.146,14.048,14.113,3221
2016-01-07 18:00:00,14.113,14.199,14.113,14.168,2290
2016-01-07 19:00:00,14.166,14.361,14.158,14.353,2068
2016-01-07 20:00:00,14.356,14.363,14.252,14.295,1687
2016-01-07 21:00:00,14.294,14.346,14.292,14.33,923
2016-01-07 22:00:00,14.329,14.336,14.271,14.286,624
